"id_gsn";"monastery_name";"Lon";"Lat";"Standort";"diocese";"order_name";"order_begin_tpq";"order_end_tpq";"alt_label_diocese";"RG_Abkuerzung";"id_order"
3809;"Zisterzienserinnenkloster Marienborn, Büdingen";"9.0138";"50.2457";"Marienborn";"Mainz";"Zisterzienserinnen";1260;1559;"eccl. Magunt.";"o. Cist.";28
3811;"Zisterzienserinnenkloster Dietenborn";"10.674813";"51.359119";"Dietenborn";"Mainz";"Zisterzienserinnen";1497;1525;"eccl. Magunt.";"o. Cist.";28
3812;"Zisterzienserinnenkloster Döllstädt";"10.809833";"51.081194";"Döllstädt";"Mainz";"Zisterzienserinnen";1289;1526;"eccl. Magunt.";"o. Cist.";28
3816;"Zisterzienserinnenkloster St. Katharinen, Eisenach";"10.305667";"50.976816";"Eisenach";"Mainz";"Zisterzienserinnen";1208;1530;"eccl. Magunt.";"o. Cist.";28
3821;"Zisterzienserinnenkloster Frauensee";"10.14325189060867";"50.87903050682789";"Frauensee";"Mainz";"Zisterzienserinnen";1167;1606;"eccl. Magunt.";"o. Cist.";28
3823;"Zisterzienserkloster Georgenzell";"10.26680938843207";"50.71819912690915";"Georgenzell";"Mainz";"Zisterzienser";1320;1531;"eccl. Magunt.";"o. Cist.";5
3825;"Augustinereremitenkloster Gotha";"10.69925217357083";"50.94751769397712";"Gotha";"Mainz";"Augustinereremiten";1258;1525;"eccl. Magunt.";"o. fr. herem. s. Aug.";36
3830;"Zisterzienserinnenkloster Frankenhausen";"11.097791";"51.354393";"Frankenhausen";"Mainz";"Zisterzienserinnen";1210;1536;"eccl. Magunt.";"o. Cist.";28
3831;"Augustinerchorherrenstift Unsere Liebe Frau im Walde, Italien";"11.108948";"46.511795";"Unsere Liebe Frau im Walde";"Trient";"Augustinerchorherren";1224;1757;"eccl. Trident.";"o. s. Aug.";1
3832;"Augustinerdoppelstift Sant'Anna di Sopramonte, Italien";"11.041523935994707";"46.06551568218866";"Sopramonte";"Trient";"Augustiner-Doppelstift";1200;1399;"eccl. Trident.";"o. s. Aug.";56
3833;"Antoniterniederlassung Bedburg-Hau";"6.161844";"51.757581";"Bedburg-Hau";"Köln";"Antoniter";1421;1549;"eccl. Colon.";"o. s. Ant.";43
