id_gsn;monastery_name;Lon;Lat;Standort;diocese;order_name;order_begin_tpq;order_end_tpq;alt_label_diocese;RG_Abkuerzung;id_order
92100;Zisterzienserinnenkloster Heilig Kreuz, Meißen;13.45884662434656;51.17487871764106;Meißen;Meißen;Benediktinerinnen;1253;1568;eccl. Misnen.;o. s. Ben.;33
92101;Zisterzienserinnenkloster Meyendorf;11.33187339806007;52.08886419429343;Meyendorf;Halberstadt;Zisterzienserinnen;1267;1810;eccl. Halberstad.;o. Cist.;28
92112;Zisterzienserinnenkloster Klosternaundorf (Naundorf);11.41249644071199;51.41607986168883;Naundorf;Halberstadt;Zisterzienserinnen;1250;1531;eccl. Halberstad.;o. Cist.;28
92141;Zisterzienserinnenkloster Salvatorberg, später Burtscheid;6.093333;50.763056;Burtscheid;Köln;Zisterzienserinnen;1201;1580;eccl. Colon.;o. Cist.;28
92153;Zisterzienserinnenkloster Althaldensleben, Haldensleben;11.41892846918322;52.26308755012997;Althaldensleben;Magdeburg;Zisterzienserinnen;1228;1810;eccl. Magdeburg.;o. Cist.;28
92155;Zisterzienserinnenkloster Himmelgarten, Alzey;8.107978551542985;49.74375444002591;Alzey;Mainz;Zisterzienserinnen;1231;1479;eccl. Magunt.;o. Cist.;28
92193;Zisterzienserinnenkloster Sankt Bernhard (Frauenhofen), Österreich;15.5952640412919;48.68523129392468;Sankt Bernhard;Passau;Zisterzienserinnen;1263;1582;eccl. Patav.;o. Cist.;28
92235;Zisterzienserinnenkloster Donndorf;11.357328;51.295951;Donndorf;Mainz;Zisterzienserinnen;1308;1541;eccl. Magunt.;o. Cist.;28
92241;Zisterzienserinnenkloster Ebersecken, Schweiz;7.933315190201483;47.18246338222317;Ebersecken;Konstanz;Zisterzienserinnen;1275;1588;eccl. Constant.;o. Cist.;28
92243;Zisterzienserkloster St. Johannisthal, Eisenach;10.30882418103762;50.97597443733904;Eisenach;Mainz;Zisterzienser;1252;1525;eccl. Magunt.;o. Cist.;5
92249;Zisterzienserinnenkloster, später Kanonissenstift Eppinghoven;6.679359574408124;51.15510356194692;Eppinghoven;Köln;Zisterzienserinnen;1231;1650;eccl. Colon.;o. Cist.;28
92250;Zisterzienserinnenkloster St. Martini extra muros, Erfurt;11.02335480843533;51.00008186300224;Erfurt;Mainz;Zisterzienserinnen;1288;1819;eccl. Magunt.;o. Cist.;28
92250;Zisterzienserinnenkloster St. Martini extra muros, Erfurt;11.037778;50.978889;Erfurt;Mainz;Zisterzienserinnen;1288;1819;eccl. Magunt.;o. Cist.;28
92255;Zisterzienserinnenkloster Feldbach, Schweiz;8.97440433867939;47.66461471390283;Feldbach;Konstanz;Zisterzienserinnen;1260;1848;eccl. Constant.;o. Cist.;28
92265;Zisterzienserinnenkloster Fraubrunnen, Schweiz;7.526717029080943;47.08499326486819;Fraubrunnen;Konstanz;Zisterzienserinnen;1249;1528;eccl. Constant.;o. Cist.;28
92272;Zisterzienserinnenkloster Friedenweiler;8.257107783854252;47.91663021555508;Friedenweiler;Konstanz;Benediktinerinnen;1123;1570;eccl. Constant.;o. s. Ben.;33
92273;Zisterzienserinnenkloster Friesach, Österreich;14.403944;46.949694;Friesach;Salzburg;Zisterzienserinnen;1251;1608;eccl. Salzeburg.;o. Cist.;28
92279;Zisterzienserinnenkloster Marienkammer, Glaucha;11.96442398216422;51.47845641434283;Glaucha;Magdeburg;Zisterzienserinnen;1220;1557;eccl. Magdeburg.;o. Cist.;28
92285;Zisterzienserinnenkloster Gotha;10.69540290452896;50.95063235170854;Gotha;Mainz;Zisterzienserinnen;1251;1524;eccl. Magunt.;o. Cist.;28
92303;Zisterzienserinnenkloster Hedersleben;11.24800519186222;51.85975356827336;Hedersleben;Halberstadt;Zisterzienserinnen;1253;1810;eccl. Halberstad.;o. Cist.;28
